lon	lat	OBJECTID	NAME	WEB_URL	EXIT_TO_ST	LINE
-76.92890227	38.97830781	108	COLLEGE PARK	http://www.wmata.com/rail/station_detail.cfm?station_id=79	NORTH SIDE OF CALVERT RD BETWEEN COLUMBIA AVE AND PAINT BRANCH PKY	green
-77.12940232	38.79940776	109	VAN DORN ST	http://www.wmata.com/rail/station_detail.cfm?station_id=94	SW CORNER OF METRO RD AND EISENHOWER AVE 	blue
-77.16950233	38.76720775	110	FRANCONIA-SPRINGF'LD	http://www.wmata.com/rail/station_detail.cfm?station_id=95	SOUTH SIDE OF FRANCONIA-SPRINGFIELD PKWY	blue
-77.09520231	38.88710778	111	CLARENDON	http://www.wmata.com/rail/station_detail.cfm?station_id=97	WEST SIDE OF N HIGHLAND ST BETWEEN WILSON BLVD AND CLARENDON BLVD	"orange, silver"
-77.15660233	38.88590778	112	E FALLS CHURCH	http://www.wmata.com/rail/station_detail.cfm?station_id=100	BY N SYCAMORE ST AND I 66 HWY	"orange, silver"
-77.27140236	38.87760777	113	VIENNA	http://www.wmata.com/rail/station_detail.cfm?station_id=103	WEST SIDE OF VADEN DR BETWEEN I - 66 W AND I - 66 E	orange
-77.09780232	38.9991078	114	MEDICAL CENTER	http://www.wmata.com/rail/station_detail.cfm?station_id=13	SW SIDE OF SOUTH DR AND ROCKVILLE PIKE 	red
-77.11210232	38.88240778	115	BALLSTON	http://www.wmata.com/rail/station_detail.cfm?station_id=99	NW CORNER OF N FAIRFAX DR AND N STUART ST 	"orange, silver"
-76.87180224	38.9479078	116	NEW CARROLLTON	http://www.wmata.com/rail/station_detail.cfm?station_id=68	WEST SIDE OF GARDEN CITY DR 	orange
-77.08610231	38.9609078	117	FRIENDSHIP HEIGHTS	http://www.wmata.com/rail/station_detail.cfm?station_id=11	NE SIDE OF WESTERN AVE AND MD-355 S	red
-77.33990239	38.94690778	118	WIEHLE-RESTON EAST	http://www.wmata.com/rail/station_detail.cfm?station_id=115	EAST SIDE OF WIEHIE AVE 	silver
-76.95560227	38.9648078	119	PRINCE GEORGES PLAZA	http://www.wmata.com/rail/station_detail.cfm?station_id=78	SW CORNER OF EAST-WEST HWY AND BELCREST CENTER DR 	green
-76.95680227	38.85100778	120	NAYLOR ROAD	http://www.wmata.com/rail/station_detail.cfm?station_id=87	NORTH SIDE OF NAYLOR RD BETWEEN SUITLAND PKY AND BRANCH AVE MD-5 N 	green
-77.10340231	38.88310778	121	VIRGINIA SQUARE	http://www.wmata.com/rail/station_detail.cfm?station_id=98	SOUTH SIDE OF N FAIRFAX DR BETWEEN N NELSON ST AND N MONROE ST 	"orange, silver"
-77.07140231	38.89610778	122	ROSSLYN	http://www.wmata.com/rail/station_detail.cfm?station_id=41	NORTH SIDE OF WILSON BLVD BETWEEN N MOORE ST AND N LYNN ST 	"orange, silver, blue"
-77.0637023	38.88460778	123	ARLINGTON CEMETERY	http://www.wmata.com/rail/station_detail.cfm?station_id=42	NW CORNER OF MEMORIAL AVE AND JEFFERSON DAVIS HWY	blue
-77.0590023	38.86290778	124	PENTAGON CITY	http://www.wmata.com/rail/station_detail.cfm?station_id=44	NE CORNER OF S HAYES ST AND 12TH ST S 	"blue, yellow"
-77.08610231	38.89050778	125	COURT HOUSE	http://www.wmata.com/rail/station_detail.cfm?station_id=96	SE CORNER OF CLARENDON BLVD AND 15TH ST N	"orange, silver"
-77.09570232	38.88670778	126	CLARENDON	http://www.wmata.com/rail/station_detail.cfm?station_id=97	WEST SIDE OF N HIGHLAND ST BETWEEN WILSON BLVD AND CLARENDON BLVD	"orange, silver"
-76.89120225	38.9334078	127	LANDOVER	http://www.wmata.com/rail/station_detail.cfm?station_id=67	EAST SIDE OF US-50 E	orange
-77.05350231	39.06190782	128	GLENMONT	http://www.wmata.com/rail/station_detail.cfm?station_id=34	EAST SIDE OF GEORGIA AVE 	red
-76.92790227	38.97820781	129	COLLEGE PARK	http://www.wmata.com/rail/station_detail.cfm?station_id=79	WEST SIDE OF RIVER RD BETWEEN COLUMBIA AVE AND PAINT BRANCH PKY	green
-77.24170236	38.92840778	130	SPRING HILL	http://www.wmata.com/rail/station_detail.cfm?station_id=114	NORTH SIDE OF SPRING HILL RD 	silver
-77.0319023	38.99410781	131	SILVER SPRING	http://www.wmata.com/rail/station_detail.cfm?station_id=31	NE CORNER OF EAST-WEST HWY AND COLESVILE RD	red
-77.0544023	38.86970778	132	PENTAGON	http://www.wmata.com/rail/station_detail.cfm?station_id=43	NW CORNER OF N ROTARY RD AND S EADS ST	"blue, yellow"
-77.0437023	38.85220778	133	NATIONAL ARPT	http://www.wmata.com/rail/station_detail.cfm?station_id=93	WEST SIDE OF S SMITH BLVD 	"blue, yellow"
-77.0612023	38.80630777	134	KING STREET	http://www.wmata.com/rail/station_detail.cfm?station_id=48	NE CORNER OF CALLAHAN DR AND KING ST 	"blue, yellow"
-76.89580225	38.88670779	135	ADDISON ROAD	http://www.wmata.com/rail/station_detail.cfm?station_id=92	SW CORNER OF CENTRAL AVENUE AND ADDISON RD S 	"silver, blue"
-77.11140232	38.88190778	136	BALLSTON	http://www.wmata.com/rail/station_detail.cfm?station_id=99	SE CORNER OF N STUART ST AND N FAIRFAX DR	"orange, silver"
-77.0752023	38.79480776	137	HUNTINGTON	http://www.wmata.com/rail/station_detail.cfm?station_id=50	THE CLOSEST EXIT TO HUNTINGTON AVE	yellow
-76.96890228	38.9559078	138	WEST HYATTSVILLE	http://www.wmata.com/rail/station_detail.cfm?station_id=77	WEST SIDE OF JAMESTOWN RD 	green
-76.95560227	38.9658078	139	PRINCE GEORGES PLAZA	http://www.wmata.com/rail/station_detail.cfm?station_id=78	SW CORNER OF EAST-WEST HWY AND BELCREST CENTER DR 	green
-77.08560232	38.9612078	140	FRIENDSHIP HEIGHTS	http://www.wmata.com/rail/station_detail.cfm?station_id=11	NW SIDE OF WESTERN AVE AND MD-355 N 	red
-76.91260226	38.82700778	141	BRANCH AVENUE	http://www.wmata.com/rail/station_detail.cfm?station_id=89	WEST SIDE OF OLD SOPER RD BETWEEN AUTH WAY AND CAPITAL GATEWAY DR	green
-77.16910233	38.76670775	142	FRANCONIA-SPRINGF'LD	http://www.wmata.com/rail/station_detail.cfm?station_id=95	SOUTH SIDE OF FRANCONIA-SPRINGFIELD PKWY	blue
-77.08490231	38.89060778	143	COURT HOUSE	http://www.wmata.com/rail/station_detail.cfm?station_id=96	SE CORNER OF 15TH ST N AND N UHLE ST	"orange, silver"
-77.08500231	38.89170778	144	COURT HOUSE	http://www.wmata.com/rail/station_detail.cfm?station_id=96	NW CORNER OF N UHLE ST AND WILSON BLVD	"orange, silver"
-77.18900235	38.90110778	145	W FALLS CHURCH	http://www.wmata.com/rail/station_detail.cfm?station_id=101	WEST SIDE OF DULLES TOO RD BETWEEN I - 66 W AND I -66 E 	orange
-77.10450233	39.02880781	146	GROSVENOR	http://www.wmata.com/rail/station_detail.cfm?station_id=14	SW OF TUCKERMAN LN AND ROCKVILLE PIKE 	red
-77.12070233	39.06210782	147	TWINBROOK	http://www.wmata.com/rail/station_detail.cfm?station_id=16	WEST SIDE OF CHAPMAN AVE 	red
-77.0547023	38.86910778	148	PENTAGON	http://www.wmata.com/rail/station_detail.cfm?station_id=43	NW CORNER OF N ROTARY RD AND S EADS ST	"blue, yellow"
-77.0709023	38.80060776	149	EISENHOWER AVENUE	http://www.wmata.com/rail/station_detail.cfm?station_id=49	SOUTH SIDE OF EISENHOWER AVE	yellow
-76.91670226	38.91610779	150	CHEVERLY	http://www.wmata.com/rail/station_detail.cfm?station_id=66	SW CORNER OF JOHN HANSON HWY AND COLUMBIA PARK RD	orange
-77.09460232	38.9847078	151	BETHESDA	http://www.wmata.com/rail/station_detail.cfm?station_id=12	SW CORNER OF EAST-WEST HWY AND WISCONSIN AVE	red
-77.11260233	39.04730781	152	WHITE FLINT	http://www.wmata.com/rail/station_detail.cfm?station_id=15	NE CORNER OF ROCKVILLE PIKE AND MARINELLI RD 	red
-77.11320233	39.04720781	153	WHITE FLINT	http://www.wmata.com/rail/station_detail.cfm?station_id=15	 NW CORNER OF ROCKVILLE PIKE AND MARINELLI RD 	red
-77.14660234	39.08440782	154	ROCKVILLE	http://www.wmata.com/rail/station_detail.cfm?station_id=17	SOUTH SIDE OF PARK RD BETWEEN MD-355 N AND S STONESTREET AVE	red
-76.84490223	38.89950779	155	LARGO TOWN CENTER	http://www.wmata.com/rail/station_detail.cfm?station_id=109	WEST SIDE OF LOTTSFORD RD BETWEEN GRAND BLVD AND N HARRY S TRUMAN DR	"silver, blue"
-77.27140236	38.87780777	156	VIENNA	http://www.wmata.com/rail/station_detail.cfm?station_id=103	WEST SIDE OF VADEN DR BETWEEN I - 66 W AND I - 66 E	orange
-77.23420236	38.92070778	157	GREENSBORO	http://www.wmata.com/rail/station_detail.cfm?station_id=113	WEST SIDE OF VA-7 ELEESBURG PIKE	silver
-77.33920239	38.94830778	158	WIEHLE-RESTON EAST	http://www.wmata.com/rail/station_detail.cfm?station_id=115	EAST SIDE OF WIEHIE AVE 	silver
-77.05110231	39.03830781	159	WHEATON	http://www.wmata.com/rail/station_detail.cfm?station_id=33	SW CORNER OF REEDIE DR AND GEORGIA AVE 	red
-77.0599023	38.86260778	160	PENTAGON CITY	http://www.wmata.com/rail/station_detail.cfm?station_id=44	NW CORNER OF S HAYES ST AND 12TH ST S 	"blue, yellow"
-77.0591023	38.86260778	161	PENTAGON CITY	http://www.wmata.com/rail/station_detail.cfm?station_id=44	NE CORNER OF S HAYES ST AND 12TH ST S 	"blue, yellow"
-77.0514023	38.85800778	162	CRYSTAL CITY	http://www.wmata.com/rail/station_detail.cfm?station_id=45	NW CORNER OF 18TH ST AND S BELL ST	"blue, yellow"
-77.04470229	38.85460778	163	NATIONAL ARPT	http://www.wmata.com/rail/station_detail.cfm?station_id=93	WEST SIDE OF S SMITH BLVD	"blue, yellow"
-77.0635023	38.88420778	164	ARLINGTON CEMETERY	http://www.wmata.com/rail/station_detail.cfm?station_id=42	SW CORNER OF MEMORIAL AVE AND JEFFERSON DAVIS HWY	blue
-77.09420232	38.9836078	165	BETHESDA	http://www.wmata.com/rail/station_detail.cfm?station_id=12	NW CORNER OF MONTGOMERY LN AND MD-355 S 	red
-77.09710232	38.99900781	166	MEDICAL CENTER	http://www.wmata.com/rail/station_detail.cfm?station_id=13	SW SIDE OF SOUTH DR AND ROCKVILLE PIKE 	red
-77.14620234	39.08470782	167	ROCKVILLE	http://www.wmata.com/rail/station_detail.cfm?station_id=17	SOUTH SIDE OF PARK RD BETWEEN MD-355 N AND S STONESTREET AVE	red
-77.0312023	38.99390781	168	SILVER SPRING	http://www.wmata.com/rail/station_detail.cfm?station_id=31	NE CORNER OF EAST-WEST HWY AND COLESVILE RD	red
-77.04320231	39.01510781	169	FOREST GLEN	http://www.wmata.com/rail/station_detail.cfm?station_id=32	SW CORNER OF FOREST GLEN RD AND GEORGIA AVE	red
-77.0434023	39.01530781	170	FOREST GLEN	http://www.wmata.com/rail/station_detail.cfm?station_id=32	SW CORNER OF FOREST GLEN RD AND GEORGIA AVE	red
-77.05030231	39.03830781	171	WHEATON	http://www.wmata.com/rail/station_detail.cfm?station_id=33	SE CORNER OF REEDIE DR AND GEORGIA AVE 	red
-77.05360231	39.06170782	172	GLENMONT	http://www.wmata.com/rail/station_detail.cfm?station_id=34	EAST SIDE OF GEORGIA AVE 	red
-76.91090226	39.01090781	173	GREENBELT	http://www.wmata.com/rail/station_detail.cfm?station_id=80	NE CORNER OF 53RD AVE AND LACKAWANNA ST	green
-76.97590227	38.84050778	174	SOUTHERN AVE	http://www.wmata.com/rail/station_detail.cfm?station_id=107	SW CORNER OF SOUTHERN AVE SE AND VALLEY TERRACE SE	green
-76.91290226	38.88940779	175	CAPITOL HEIGHTS	http://www.wmata.com/rail/station_detail.cfm?station_id=91	NORTH SIDE OF DAVEY ST BETWEEN SOUTHERN AVE AND EAST CAPITOL ST 	"silver, blue"
-77.10360233	39.02890781	176	GROSVENOR	http://www.wmata.com/rail/station_detail.cfm?station_id=14	SE OF TUCKERMAN LN AND ROCKVILLE PIKE 	red
-77.12030233	39.06230782	177	TWINBROOK	http://www.wmata.com/rail/station_detail.cfm?station_id=16	WEST SIDE OF CHAPMAN AVE 	red
-77.07180231	38.89600779	178	ROSSLYN	http://www.wmata.com/rail/station_detail.cfm?station_id=41	NORTH SIDE OF WILSON BLVD BETWEEN FORT MYER DR AND N MOORE ST 	"orange, silver, blue"
-77.0508023	38.85800778	179	CRYSTAL CITY	http://www.wmata.com/rail/station_detail.cfm?station_id=45	NW CORNER OF 18TH ST AND S BELL ST	"blue, yellow"
-76.91330226	38.88920779	180	CAPITOL HEIGHTS	http://www.wmata.com/rail/station_detail.cfm?station_id=91	NORTH SIDE OF DAVEY ST BETWEEN SOUTHERN AVE AND EAST CAPITOL ST 	"silver, blue"
